NDat,NTaxDat,NChrDat,NRefDat,NCstDat,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
395940,Alseuosmia macrophylla,95. Dispersal syndrome (D1),Sheperd et al 2020 (NZJBot),95. Dispersal syndrome (D1): (2) endo-zoochory,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Alseuosmia macrophylla / 95. Dispersal syndrome (D1): (2) endo-zoochory [Sheperd et al 2020, Sylvain Glémin, 25/02/2022]"
395941,Buxus balearica,1. Habit (D1),Lázaro A & Traveset A 2005 (Ecography),1. Habit (D1): (1) shrub,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 1. Habit (D1): (1) shrub [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395942,Buxus balearica,2. Maximum vertical height (C1),Lázaro A & Traveset A 2005 (Ecography),,6,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 2. Maximum vertical height (C1): 6.0 [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395943,Buxus balearica,5. Life history (D1),Lázaro A & Traveset A 2005 (Ecography),5. Life history (D1): (2) perennial (undetermined),,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 5. Life history (D1): (2) perennial (undetermined) [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395944,Buxus balearica,100. Floral structural sex (D1),Lázaro A & Traveset A 2005 (Ecography),100. Floral structural sex (D1): (2) unisexual,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 100. Floral structural sex (D1): (2) unisexual [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395945,Buxus balearica,4. Plant sexual system (D1),Lázaro A & Traveset A 2005 (Ecography),4. Plant sexual system (D1): (1) monoecious,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 4. Plant sexual system (D1): (1) monoecious [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395947,Buxus balearica,301. Number of fertile stamens (C1),Lázaro A & Traveset A 2005 (Ecography),,4,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 301. Number of fertile stamens (C1): 4 [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395949,Buxus balearica,301. Number of fertile stamens (C1),Lázaro A & Traveset A 2005 (Ecography),,,2,5,Can vary frrom 2 to 5 but 4 is standard,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,Sylvain Glémin,25-Feb-22,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 301. Number of fertile stamens (C1): 2-5 [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]_x000D_[Updated by Sylvain Glémin on 25/02/2022] Buxus balearica / 301. Number of fertile stamens (C1):"
395953,Buxus balearica,411. Number of ovules per functional carpel (C1),Lázaro A & Traveset A 2005 (Ecography),,6,,,"6 ovules per fruit, sometimes 4",explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 411. Number of ovules per functional carpel (C1): 6 [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022] {6 ovules per fruit, sometimes 4}"
395955,Buxus balearica,107. Floral reward (D1),Lázaro A & Traveset A 2005 (Ecography),107. Floral reward (D1): (2) nectar,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 107. Floral reward (D1): (2) nectar [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395956,Buxus balearica,95. Dispersal syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),95. Dispersal syndrome (D1): (0) unassisted dispersal,,,,,,species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 95. Dispersal syndrome (D1): (0) unassisted dispersal [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395957,Buxus balearica,95. Dispersal syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),95. Dispersal syndrome (D1): (5) myrmecochory,,,,,,species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 95. Dispersal syndrome (D1): (5) myrmecochory [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395960,Buxus balearica,83. Self-incompatibility system (genetic) (D1),Lázaro A & Traveset A 2005 (Ecography),83. Self-incompatibility system (genetic) (D1): (0) self-compatible,,,,,,species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 83. Self-incompatibility system (genetic) (D1): (0) self-compatible [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395963,Buxus balearica,15561. Fruit dehiscence (D1),Lázaro A & Traveset A 2005 (Ecography),15561. Fruit dehiscence (D1): (0) dehiscent,,,,,,species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 15561. Fruit dehiscence (D1): (0) dehiscent [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395964,Buxus balearica,82. Autonomous selfing (D1),Lázaro A & Traveset A 2005 (Ecography),82. Autonomous selfing (D1): (1) variable,,,,,,species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 82. Autonomous selfing (D1): (1) variable [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395967,Buxus balearica,90. Pollination syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),90. Pollination syndrome (D1): (0) wind,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 90. Pollination syndrome (D1): (0) wind [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395969,Buxus balearica,90. Pollination syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),90. Pollination syndrome (D1): (3) beetle,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 90. Pollination syndrome (D1): (3) beetle [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395972,Buxus balearica,90. Pollination syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),90. Pollination syndrome (D1): (7) fly,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 90. Pollination syndrome (D1): (7) fly [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395973,Buxus balearica,90. Pollination syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),90. Pollination syndrome (D1): (2) bee,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Buxus balearica / 90. Pollination syndrome (D1): (2) bee [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395982,Corokia cotoneaster,1. Habit (D1),Lázaro A & Traveset A 2005 (Ecography),1. Habit (D1): (1) shrub,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 1. Habit (D1): (1) shrub [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395983,Corokia cotoneaster,108. Herkogamy (D1),Lázaro A & Traveset A 2005 (Ecography),108. Herkogamy (D1): (0) absent,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 108. Herkogamy (D1): (0) absent [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395984,Corokia cotoneaster,109. Dichogamy (D1),Lázaro A & Traveset A 2005 (Ecography),109. Dichogamy (D1): (0) absent,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 109. Dichogamy (D1): (0) absent [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395988,Corokia cotoneaster,239. Main color of perianth at anthesis (D1),Lázaro A & Traveset A 2005 (Ecography),239. Main color of perianth at anthesis (D1): (0) yellow,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 239. Main color of perianth at anthesis (D1): (0) yellow [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395990,Corokia cotoneaster,15562. Fruit fleshiness (D1),Lázaro A & Traveset A 2005 (Ecography),15562. Fruit fleshiness (D1): (0) fleshy,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 15562. Fruit fleshiness (D1): (0) fleshy [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395992,Corokia cotoneaster,20503. Fruit color (D1),Lázaro A & Traveset A 2005 (Ecography),20503. Fruit color (D1): (0) red,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 20503. Fruit color (D1): (0) red [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395993,Corokia cotoneaster,20503. Fruit color (D1),Lázaro A & Traveset A 2005 (Ecography),20503. Fruit color (D1): (1) yellow,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 20503. Fruit color (D1): (1) yellow [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395994,Corokia cotoneaster,20503. Fruit color (D1),Lázaro A & Traveset A 2005 (Ecography),20503. Fruit color (D1): (0) red,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 20503. Fruit color (D1): (0) red [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
395996,Corokia cotoneaster,4. Plant sexual system (D1),Lázaro A & Traveset A 2005 (Ecography),4. Plant sexual system (D1): (0) bisexual,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 4. Plant sexual system (D1): (0) bisexual [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396001,Corokia cotoneaster,5. Life history (D1),Lázaro A & Traveset A 2005 (Ecography),5. Life history (D1): (4) polycarpic perennial,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 5. Life history (D1): (4) polycarpic perennial [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396002,Corokia cotoneaster,15560. Fruit type (D1),Lázaro A & Traveset A 2005 (Ecography),15560. Fruit type (D1): (3) drupe,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 15560. Fruit type (D1): (3) drupe [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396003,Corokia cotoneaster,107. Floral reward (D1),Lázaro A & Traveset A 2005 (Ecography),107. Floral reward (D1): (2) nectar,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 107. Floral reward (D1): (2) nectar [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396005,Corokia cotoneaster,107. Floral reward (D1),Lázaro A & Traveset A 2005 (Ecography),107. Floral reward (D1): (7) perfume,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 107. Floral reward (D1): (7) perfume [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396007,Corokia cotoneaster,90. Pollination syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),90. Pollination syndrome (D1): (2) bee,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 90. Pollination syndrome (D1): (2) bee [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396008,Corokia cotoneaster,90. Pollination syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),90. Pollination syndrome (D1): (7) fly,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 90. Pollination syndrome (D1): (7) fly [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396009,Corokia cotoneaster,83. Self-incompatibility system (genetic) (D1),Lázaro A & Traveset A 2005 (Ecography),83. Self-incompatibility system (genetic) (D1): (3) undetermined self-incompatible,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 83. Self-incompatibility system (genetic) (D1): (3) undetermined self-incompatible [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396012,Corokia cotoneaster,95. Dispersal syndrome (D1),Lázaro A & Traveset A 2005 (Ecography),95. Dispersal syndrome (D1): (2) endo-zoochory,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Corokia cotoneaster / 95. Dispersal syndrome (D1): (2) endo-zoochory [Lázaro A & Traveset A 2005, Sylvain Glémin, 25/02/2022]"
396017,Costus woodsonii,1. Habit (D1),Aswathi et al 2015 (IntJPlantReprodBiol),1. Habit (D1): (3) herb,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 1. Habit (D1): (3) herb [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396022,Costus woodsonii,5. Life history (D1),Aswathi et al 2015 (IntJPlantReprodBiol),5. Life history (D1): (4) polycarpic perennial,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 5. Life history (D1): (4) polycarpic perennial [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396024,Costus woodsonii,660. Inflorescence attractive organ (D1),Aswathi et al 2015 (IntJPlantReprodBiol),660. Inflorescence attractive organ (D1): (1) bracts,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 660. Inflorescence attractive organ (D1): (1) bracts [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396025,Costus woodsonii,661. Inflorescence attractive color (D1),Aswathi et al 2015 (IntJPlantReprodBiol),661. Inflorescence attractive color (D1): (7) red,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 661. Inflorescence attractive color (D1): (7) red [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396030,Costus woodsonii,107. Floral reward (D1),Aswathi et al 2015 (IntJPlantReprodBiol),107. Floral reward (D1): (1) pollen,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 107. Floral reward (D1): (1) pollen [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396031,Costus woodsonii,107. Floral reward (D1),Aswathi et al 2015 (IntJPlantReprodBiol),107. Floral reward (D1): (2) nectar,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 107. Floral reward (D1): (2) nectar [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396033,Costus woodsonii,83. Self-incompatibility system (genetic) (D1),Aswathi et al 2015 (IntJPlantReprodBiol),83. Self-incompatibility system (genetic) (D1): (0) self-compatible,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 83. Self-incompatibility system (genetic) (D1): (0) self-compatible [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396035,Costus woodsonii,2. Maximum vertical height (C1),Aswathi et al 2015 (IntJPlantReprodBiol),,12,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 2. Maximum vertical height (C1): 12.0 [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396043,Costus woodsonii,239. Main color of perianth at anthesis (D1),Aswathi et al 2015 (IntJPlantReprodBiol),239. Main color of perianth at anthesis (D1): (7) red,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 239. Main color of perianth at anthesis (D1): (7) red [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396045,Costus woodsonii,239. Main color of perianth at anthesis (D1),Aswathi et al 2015 (IntJPlantReprodBiol),239. Main color of perianth at anthesis (D1): (A) orange,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 239. Main color of perianth at anthesis (D1): (A) orange [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396047,Costus woodsonii,301. Number of fertile stamens (C1),Aswathi et al 2015 (IntJPlantReprodBiol),,1,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 301. Number of fertile stamens (C1): 1 [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396048,Costus woodsonii,411. Number of ovules per functional carpel (C1),Aswathi et al 2015 (IntJPlantReprodBiol),,,8,10,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 411. Number of ovules per functional carpel (C1): 8-10 [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396049,Costus woodsonii,401. Number of structural carpels (C1),Aswathi et al 2015 (IntJPlantReprodBiol),,3,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 401. Number of structural carpels (C1): 3 [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396050,Costus woodsonii,102. Ovary position (D1),Aswathi et al 2015 (IntJPlantReprodBiol),102. Ovary position (D1): (1) inferior,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 102. Ovary position (D1): (1) inferior [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396051,Costus woodsonii,90. Pollination syndrome (D1),Aswathi et al 2015 (IntJPlantReprodBiol),90. Pollination syndrome (D1): (2) bee,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 90. Pollination syndrome (D1): (2) bee [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396052,Costus woodsonii,90. Pollination syndrome (D1),Aswathi et al 2015 (IntJPlantReprodBiol),90. Pollination syndrome (D1): (A) bird,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 90. Pollination syndrome (D1): (A) bird [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396053,Costus woodsonii,81. Pollen/ovule ratio (C1),Aswathi et al 2015 (IntJPlantReprodBiol),,744,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 81. Pollen/ovule ratio (C1): 744.0 [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396054,Costus woodsonii,15560. Fruit type (D1),Aswathi et al 2015 (IntJPlantReprodBiol),15560. Fruit type (D1): (0) capsule,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 15560. Fruit type (D1): (0) capsule [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396056,Costus woodsonii,82. Autonomous selfing (D1),Aswathi et al 2015 (IntJPlantReprodBiol),82. Autonomous selfing (D1): (0) yes,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 82. Autonomous selfing (D1): (0) yes [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396058,Costus woodsonii,83. Self-incompatibility system (genetic) (D1),Aswathi et al 2015 (IntJPlantReprodBiol),83. Self-incompatibility system (genetic) (D1): (0) self-compatible,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Costus woodsonii / 83. Self-incompatibility system (genetic) (D1): (0) self-compatible [Aswathi et al 2015, Sylvain Glémin, 25/02/2022]"
396135,Davidsonia jerseyana,80. Phenotypic mating system (D1),Elliot et al 2014 (AustJBot),80. Phenotypic mating system (D1): (0) (predominantly) selfing,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 80. Phenotypic mating system (D1): (0) (predominantly) selfing [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396136,Davidsonia jerseyana,1. Habit (D1),Elliot et al 2014 (AustJBot),1. Habit (D1): (0) tree,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 1. Habit (D1): (0) tree [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396137,Davidsonia jerseyana,104. Flower diameter (C1),Elliot et al 2014 (AustJBot),,0.5,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 104. Flower diameter (C1): 0.5 [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396138,Davidsonia jerseyana,239. Main color of perianth at anthesis (D1),Elliot et al 2014 (AustJBot),239. Main color of perianth at anthesis (D1): (4) pink,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 239. Main color of perianth at anthesis (D1): (4) pink [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396139,Davidsonia jerseyana,107. Floral reward (D1),Elliot et al 2014 (AustJBot),107. Floral reward (D1): (2) nectar,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 107. Floral reward (D1): (2) nectar [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396140,Davidsonia jerseyana,4. Plant sexual system (D1),Elliot et al 2014 (AustJBot),4. Plant sexual system (D1): (0) bisexual,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 4. Plant sexual system (D1): (0) bisexual [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396141,Davidsonia jerseyana,100. Floral structural sex (D1),Elliot et al 2014 (AustJBot),100. Floral structural sex (D1): (0) bisexual,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 100. Floral structural sex (D1): (0) bisexual [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396142,Davidsonia jerseyana,15560. Fruit type (D1),Elliot et al 2014 (AustJBot),15560. Fruit type (D1): (3) drupe,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 15560. Fruit type (D1): (3) drupe [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396143,Davidsonia jerseyana,15562. Fruit fleshiness (D1),Elliot et al 2014 (AustJBot),15562. Fruit fleshiness (D1): (0) fleshy,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 15562. Fruit fleshiness (D1): (0) fleshy [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396144,Davidsonia jerseyana,20501. Fruit width (C1),Elliot et al 2014 (AustJBot),,5,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 20501. Fruit width (C1): 5.0 [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396145,Davidsonia jerseyana,20503. Fruit color (D1),Elliot et al 2014 (AustJBot),20503. Fruit color (D1): (6) purple / black,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Davidsonia jerseyana / 20503. Fruit color (D1): (6) purple / black [Elliot et al 2014, Sylvain Glémin, 25/02/2022]"
396146,Pinguicula alpina,1. Habit (D1),Molau 1993 (NordJBot),1. Habit (D1): (3) herb,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Pinguicula alpina / 1. Habit (D1): (3) herb [Molau 1993, Sylvain Glémin, 25/02/2022]"
396147,Pinguicula alpina,5. Life history (D1),Molau 1993 (NordJBot),5. Life history (D1): (4) polycarpic perennial,,,,,explicit from the text (described as such),species,,Sylvain Glémin,25-Feb-22,,,0,,,0,"[Created by Sylvain Glémin on 25/02/2022] Pinguicula alpina / 5. Life history (D1): (4) polycarpic perennial [Molau 1993, Sylvain Glémin, 25/02/2022]"
